,indicateur,regions,Value
0,Innondations,Dakar,4.8
1,Innondations,Ziguinchor,0.1
2,Innondations,Diourbel,0.5
3,Innondations,Saint-Louis,0.4
4,Innondations,Tambacounda,0.2
5,Innondations,Kaolack,1.1
6,Innondations,Thiès,0.3
7,Innondations,Louga,0.4
8,Innondations,Fatick,0.3
9,Innondations,Kolda,2.6
10,Innondations,Matam,0.2
11,Innondations,Kaffrine,0.4
12,Innondations,Kedougou,1.3
13,Innondations,Sedhiou,0.2
